Place,Distance (mi)
Hungary,6144.98
Japan,5142.42
New York,2570.48
Spain,5806.71
Hawaii,2344.8
Europe,5592.38
No Response,0
San Jose,35.04
Philippines,6999.15
Greece,6679.73
Italy,6207.77
Netherlands,5489.08
Las Vegas ,414.16
Palestine,7419.22
South Korea,5660.08
Thailand,7809.68
United Kingdom,5076.48
Dominican Republic,3389.59
France,5709.08
Asia,6765.77
Los Angeles,339.93
Ecuador,3890.7
Armenia,6997.04
Fiji,5451.17
Yosemite,156.67
China,6570.48
Belgium,5534.57
Mexico,1575.94
Taiwan,6517.52
Anaheim ,363.72
Switzerland,5836.59
Singapore,8446.89
Brazil ,5447.27
Myanmar,7678.57
Seattle,689.27
Florida,2368.74
New York ,2570.48
Lake Tahoe,159.44
Canada,1600.18
Peru,4483.79
New Orleans,1920.37
India,8087.96
Morocco,6120.19
San Diego,450.88
Orlando ,2436.35
Catalina Island,1337.74
Miami,2580.84
Indonesia,7928.19
Maldives,9447.63
Santa Cruz,49.95
Mill Valley,20.39
Egypt,7626.41
Kenya,9489.11
Oregon,451.25
Jamaica,3030.89
Croatia,6144.69
Slovenia,6078.24
Utah,1712.66
Santa Barbara,286.6
Vietnam,7493.04
Argentina,6208.51
Sardinia,6253.35
Africa,9978.17
Irvine,375.73
Bahamas,2767.43
Turkey,6951.05
Haiti,3257.29
Germany ,5653.7
Austria,5962.79
Ireland,5057.74
Austin TX,1497.19
Colombia ,3869.09
El Salvador ,2633.11
Costa Rica,3076.66
